Voltage(mv),405-A,405-B,Voltage(mv),635-A,635-B
0,914.0068377,914.0068377,0,803.443275,803.443275
100,913.3776415,913.3776415,100,802.89019,802.89019
200,913.2555586,913.2555586,200,802.782875,802.782875
300,913.1681502,913.1681502,300,802.70604,802.70604
400,912.6964336,912.6964336,400,802.291385,802.291385
500,912.1199714,912.1199714,500,801.784655,801.784655
600,910.3746923,910.3746923,600,800.250495,800.250495
700,903.1104016,903.1104016,700,793.864935,793.864935
800,866.6300238,866.6300238,800,761.797435,761.797435
900,808.5352026,808.5352026,900,710.7301,710.7301
1000,741.7804454,741.7804454,1000,652.050385,652.050385
1020,687.3163248,687.3163248,1020,604.17456,604.17456
1040,669.9278263,669.9278263,1040,588.889475,588.889475
1060,657.1661955,657.1661955,1060,577.671565,577.671565
1080,642.9099528,642.9099528,1080,565.13984,565.13984
1100,628.2210022,628.2210022,1100,552.22775,552.22775
1120,613.7162595,613.7162595,1120,539.477585,539.477585
1140,599.5430909,599.5430909,1140,527.018885,527.018885
1160,585.2550633,585.2550633,1160,514.45922,514.45922
1180,567.5133192,567.5133192,1180,498.86362,498.86362
1200,557.3197625,557.3197625,1200,489.903135,489.903135
1220,543.6594863,543.6594863,1220,477.895285,477.895285
1240,530.8299515,530.8299515,1240,466.617685,466.617685
1260,517.6666753,517.6666753,1260,455.046715,455.046715
1280,505.6758279,505.6758279,1280,444.50635,444.50635
1300,493.1670314,493.1670314,1300,433.51069,433.51069
1320,481.241921,481.241921,1320,423.02811,423.02811
1340,469.409998,469.409998,1340,412.627445,412.627445
1360,458.0418454,458.0418454,1360,402.63445,402.63445
1380,446.9575896,446.9575896,1380,392.89101,392.89101
1400,436.5321478,436.5321478,1400,383.72669,383.72669
1420,425.811251,425.811251,1420,374.302655,374.302655
1440,415.7585591,415.7585591,1440,365.465995,365.465995
1460,405.7578789,405.7578789,1460,356.675055,356.675055
1480,396.4420185,396.4420185,1480,348.486095,348.486095
1500,387.1796144,387.1796144,1500,340.344125,340.344125
1520,378.419267,378.419267,1520,332.64348,332.64348
1540,371.5920185,371.5920185,1540,326.642095,326.642095
1560,361.1918601,361.1918601,1560,317.5,317.5
1580,353.7043528,353.7043528,1580,310.918225,310.918225
1600,345.6815592,345.6815592,1600,303.865915,303.865915
1620,337.6479299,337.6479299,1620,296.80408,296.80408
1640,330.562068,330.562068,1640,290.575365,290.575365
1660,323.594677,323.594677,1660,284.45079,284.45079
1680,316.4878659,316.4878659,1680,278.20366,278.20366
1700,309.9972482,309.9972482,1700,272.498185,272.498185
1720,303.8699895,303.8699895,1720,267.112115,267.112115
1740,297.6582119,297.6582119,1740,261.65175,261.65175
1760,291.7346654,291.7346654,1760,256.44475,256.44475
1780,285.9664314,285.9664314,1780,251.374275,251.374275
1800,280.4452526,280.4452526,1800,246.52097,246.52097
1820,275.2209735,275.2209735,1820,241.92865,241.92865
1840,269.9966945,269.9966945,1840,237.33633,237.33633
1860,265.1610579,265.1610579,1860,233.08564,233.08564
1880,260.3665971,260.3665971,1880,228.871145,228.871145
1900,255.710834,255.710834,1900,224.77857,224.77857
1920,251.1959358,251.1959358,1920,220.80982,220.80982
1940,246.9273704,246.9273704,1940,217.057605,217.057605
1960,242.7794431,242.7794431,1960,213.411435,213.411435
1980,238.7001422,238.7001422,1980,209.82559,209.82559
2000,234.8158849,234.8158849,2000,206.411195,206.411195
2020,230.8825056,230.8825056,2020,202.95362,202.95362
2040,227.2958704,227.2958704,2040,199.800845,199.800845
2060,223.6810623,223.6810623,2060,196.623305,196.623305
2080,220.3140317,220.3140317,2080,193.66357,193.66357
2100,216.9455565,216.9455565,2100,190.702565,190.702565
2120,213.717946,213.717946,2120,187.865385,187.865385
2140,210.5177861,210.5177861,2140,185.052335,185.052335
2160,207.5545681,207.5545681,2160,182.447565,182.447565
2180,204.5927948,204.5927948,2180,179.844065,179.844065
2200,201.699648,201.699648,2200,177.30089,177.30089
2220,198.8729605,198.8729605,2220,174.816135,174.816135
2240,196.232648,196.232648,2240,172.49521,172.49521
2260,193.5836669,193.5836669,2260,170.166665,170.166665
2280,190.9592469,190.9592469,2280,167.85971,167.85971
2300,188.5313152,188.5313152,2300,165.725475,165.725475
2320,186.0029722,186.0029722,2320,163.502975,163.502975
2340,183.7729736,183.7729736,2340,161.54273,161.54273
2360,181.4230594,181.4230594,2360,159.477075,159.477075
2380,179.1251568,179.1251568,2380,157.45714,157.45714
2400,177.0006263,177.0006263,2400,155.589605,155.589605
2420,174.7706277,174.7706277,2420,153.62936,153.62936
2440,172.7298937,172.7298937,2440,151.835485,151.835485
2460,170.7917382,170.7917382,2460,150.13178,150.13178
2480,168.7986815,168.7986815,2480,148.379815,148.379815
2500,166.7666161,166.7666161,2500,146.59356,146.59356
2520,164.9584896,164.9584896,2520,145.004155,145.004155
2540,163.1294141,163.1294141,2540,143.396335,143.396335
2560,161.3487382,161.3487382,2560,141.83106,141.83106
2580,159.7045928,159.7045928,2580,140.3858,140.3858
2600,157.9853196,157.9853196,2600,138.8745,138.8745
2620,156.3144461,156.3144461,2620,137.405745,137.405745
2640,154.6385158,154.6385158,2640,135.932545,135.932545
2660,153.0463821,153.0463821,2660,134.533005,134.533005
2680,151.5561045,151.5561045,2680,133.223,133.223
